INPUT_TABLE
Variable ID
RenewRsrcCurves

region,renewresource,sub.renewable.resource,grade,available,extractioncost
Middle East,Arabian Peninsula-water withdrawals,runoff,grade7,0.12668218149329,0.000303333333333333
Middle East,Arabian Peninsula-water withdrawals,runoff,grade8,0.147795878408839,0.000475802469135803
Middle East,Arabian Peninsula-water withdrawals,runoff,grade9,0.168909575324387,0.000705308641975309
Middle East,Arabian Peninsula-water withdrawals,runoff,grade10,0.190023272239935,0.001
Middle East,Arabian Peninsula-water withdrawals,runoff,grade11,0.271020945015942,0.119146579220902
Middle East,Arabian Peninsula-water withdrawals,runoff,grade12,0.352018617791948,0.463491179792283
Middle East,Arabian Peninsula-water withdrawals,runoff,grade13,0.433016290567955,1.0226889954393
Middle East,Arabian Peninsula-water withdrawals,runoff,grade14,0.514013963343961,1.78539521988713
Middle East,Arabian Peninsula-water withdrawals,runoff,grade15,0.595011636119968,2.74026504686091
Middle East,Arabian Peninsula-water withdrawals,runoff,grade16,0.676009308895974,3.87595367008583
Middle East,Arabian Peninsula-water withdrawals,runoff,grade17,0.757006981671981,5.18111628328703
Middle East,Arabian Peninsula-water withdrawals,runoff,grade18,0.838004654447987,6.64440808018969
Middle East,Arabian Peninsula-water withdrawals,runoff,grade19,0.919002327223994,8.25448425451895
Middle East,Arabian Peninsula-water withdrawals,runoff,grade20,1,10
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade1,0,1e-05
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade2,0.0646677634682856,1.1358024691358e-05
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade3,0.129335526936571,2.08641975308642e-05
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade4,0.194003290404857,4.66666666666667e-05
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade5,0.258671053873142,9.69135802469136e-05
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade6,0.323338817341428,0.000179753086419753
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade7,0.388006580809714,0.000303333333333333
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade8,0.452674344277999,0.000475802469135802
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade9,0.517342107746285,0.000705308641975309
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade10,0.58200987121457,0.001
Middle East,Arabian Sea Coast-water withdrawals,runoff,grade11,0.623808884093113,0.153541098551926
